BitBay,XIN/BTC,"$14,759,735",BTC/PLN,"$3,239,963",ETH/PLN,"$603,261",BCC/PLN,"$373,483",XRP/PLN,"$189,246",LTC/PLN,"$91,827",BTC/USD,"$91,361",BTC/EUR,"$52,116",XMR/USD,"$43,813",LSK/PLN,"$40,188"
Rfinex,TRX/ETH,"$12,218,131",EOS/ETH,"$2,932,859",MAG/ETH,"$806,819",ICX/ETH,"$576,003",SDA/ETH,"$135,724",ATM/ETH,"$771",WICC/ETH,"$250",MXM/ETH,"$143",DATX/ETH,"$120",GVE/ETH,"$76"
Livecoin,BTC/USD,"$8,737,674",ETH/BTC,"$3,493,375",LTC/BTC,"$666,026",IPL/ETH,"$653,815",BCH/BTC,"$547,823",DASH/BTC,"$470,462",BCH/USD,"$248,148",ORME/BTC,"$180,846",BTC/RUR,"$174,900",EMC/BTC,"$152,327"
CPDAX,BTC/KRW,"$2,988,783",ETH/KRW,"$2,415,843",COSM/KRW,"$2,099,525",AUTO/KRW,"$1,801,488",MEDX/KRW,"$1,726,272",EOS/BTC,"$1,342,964",ETH/BTC,"$1,145,993",LTC/BTC,"$1,015,489",BAT/BTC,"$519,764",BCH/BTC,"$498,753"
Gemini,BTC/USD,"$10,290,387",ETH/USD,"$3,203,100",ZEC/USD,"$150,742",ETH/BTC,"$89,300",ZEC/BTC,"$61,380",ZEC/ETH,"$961"
C2CX,BTC/USDT,"$7,835,835",ETH/USDT,"$3,790,212",BCH/USDT,"$879,982",LTC/USDT,"$257,658",ETC/USDT,"$220,189",ETH/BTC,"$80,956",ZEC/USDT,"$66,595",EOS/BTC,"$62,667",BCH/BTC,"$49,352",DASH/USDT,"$39,375"
Coinone,XRP/KRW,"$4,180,039",BTC/KRW,"$3,892,725",ETH/KRW,"$1,989,100",BCH/KRW,"$787,620",EOS/KRW,"$622,545",IOTA/KRW,"$491,979",QTUM/KRW,"$217,367",ETC/KRW,"$170,253",ZIL/KRW,"$130,115",LTC/KRW,"$60,226"
InfinityCoin Exchange,XIN/BTC,"$12,414,058"
Coindeal,BTC/USD,"$4,598,106",ETH/BTC,"$3,967,596",BTC/GBP,"$1,993,086",FTO/BTC,"$954,831",BTC/EUR,"$122,424",TRX/BTC,"$122,300",XRP/BTC,"$88,435",BCH/BTC,"$77,220",EOS/BTC,"$37,369",FTO/EUR,"$30,265"
Coinbe,XIN/BTC,"$10,518,288",KBC/BTC,"$98,724",XIN/ETH,"$50,363",ICR/BTC,"$30,394",ETH/BTC,"$22,417",XMR/BTC,"$11,781",BCC/BTC,"$9,308",LTC/BTC,"$7,472",BCC/XIN,"$6,726",DASH/BTC,"$5,471"
